# Trimmed version of Nmax = 7
# This was made from genremap.cpp as part of the BoxRemap
# code from Carlson & White: 
# http://mwhite.berkeley.edu/BoxRemap/
# L1 L2 L3   u11 u12 u13   u21 u22 u23   u31 u32 u33   (periodicity)
1.0000 1.0000 1.0000   1 0 0   0 1 0   0 0 1   (123)
1.4142 0.7071 1.0000   1 1 0   0 1 0   0 0 1   (13)
1.4142 1.0000 0.7071   1 1 0   0 0 1   1 0 0   (12)
1.4142 1.2247 0.5774   1 1 0   1 0 1   1 0 0   (1)
1.7321 0.8165 0.7071   1 1 1   1 0 0   0 1 0   (1)
1.7321 1.4142 0.4082   1 1 1   2 0 1   1 0 0   (12)
1.4142 2.1213 0.3333   1 1 0   0 1 2   0 0 1   (1)
1.7321 2.1602 0.2673   1 1 1   3 0 1   1 0 0   (1)
2.2361 1.0000 0.4472   2 1 0   0 0 1   1 0 0   (12)
2.2361 1.0954 0.4082   2 1 0   1 0 1   1 0 0   (1)
2.2361 1.3416 0.3333   2 1 0   0 1 1   1 0 0   (1)
2.2361 1.6733 0.2673   2 1 0   3 0 1   1 0 0   (1)
1.4142 2.3452 0.3015   1 1 0   3 0 1   1 0 0   (1)
2.4495 0.7071 0.5774   2 1 1   1 1 0   0 1 0   (1)
2.4495 0.5774 0.7071   2 1 1   1 0 0   0 1 0   (1)
2.4495 0.9129 0.4472   2 1 1   0 0 1   1 0 0   (1)
2.4495 1.3540 0.3015   2 1 1   1 -1 0   1 0 0   (1)
2.4495 1.5275 0.2673   2 1 1   1 2 0   0 1 0   (1)
1.4142 2.9155 0.2425   1 1 0   0 3 2   0 1 1   (1)
3.0000 0.4714 0.7071   2 2 1   1 1 0   0 1 0   (1)
3.0000 0.7454 0.4472   2 2 1   1 0 0   0 1 0   (1)
3.0000 1.0000 0.3333   2 2 1   0 1 1   1 0 0   (1)
3.0000 1.3744 0.2425   2 2 1   1 0 -1   1 1 0   (1)
3.1623 0.3162 1.0000   3 0 1   1 0 0   0 1 0   (13)
3.1623 1.0000 0.3162   3 1 0   0 0 1   1 0 0   (12)
3.1623 1.0488 0.3015   3 1 0   1 0 1   1 0 0   (1)
3.1623 1.1832 0.2673   3 1 0   2 0 1   1 0 0   (1)
3.3166 0.4264 0.7071   3 1 1   1 0 0   0 1 0   (1)
3.3166 0.7385 0.4082   3 1 1   1 1 0   0 1 0   (1)
3.3166 0.9535 0.3162   3 1 1   0 0 1   1 0 0   (1)
3.6056 1.0000 0.2774   3 0 2   0 1 0   1 0 1   (12)
3.6056 1.0377 0.2673   3 2 0   1 1 1   0 0 1   (1)
3.6056 1.1435 0.2425   3 0 2   1 1 0   1 0 1   (1)
3.7417 0.4629 0.5774   3 2 1   1 1 0   0 1 0   (1)
3.7417 0.5976 0.4472   3 2 1   1 0 0   0 1 0   (1)
3.7417 0.6547 0.4082   3 2 1   1 1 1   1 0 0   (1)
3.7417 0.8452 0.3162   3 1 2   0 0 1   1 0 0   (1)
3.7417 0.9636 0.2774   3 1 2   0 1 0   1 0 1   (1)
